products,cycle,phase,elapsed_s,private_bytes,managed_bytes,handles,gdi,user,threads,gc0,gc1,gc2,dispatcher_ms,pending_dispatcher,cache_entries,image_lookups,scan_ms,render_ms,native_input_pending
100000,2,Rows,62.671,303689728,69924132,670,30,43,38,878,816,36,0.187,60,500,0,41.174,117.459,1
100000,2,Rows,62.901,303521792,67224896,670,32,43,38,881,818,37,0.193,60,500,0,60.697,165.801,1
100000,2,Rows,63.096,304488448,67024844,670,34,43,38,883,820,37,0.177,60,500,0,60.987,130.452,1
100000,2,Rows,63.260,305451008,69476712,670,36,43,38,884,821,37,0.194,60,500,0,39.980,120.743,1
100000,2,Rows,63.489,304566272,67130232,670,38,43,38,887,823,38,0.201,60,500,0,59.475,165.628,1
100000,2,Rows,63.679,304685056,67041924,670,40,43,38,889,825,38,0.193,60,500,0,61.283,124.074,1
100000,2,Grid,64.026,305172480,67267496,670,44,43,38,893,828,39,0.268,58,500,0,147.761,162.739,1
100000,2,Grid,64.212,305786880,67625316,670,46,43,38,895,830,39,0.193,58,500,0,62.453,119.109,1
100000,2,Grid,64.370,306462720,70161904,670,28,43,38,896,831,39,0.224,58,500,0,38.997,115.612,1
100000,2,Grid,64.600,305729536,67460500,670,30,43,38,899,833,40,0.193,58,500,0,61.201,167.083,1
100000,2,Grid,64.782,293437440,67833564,670,32,43,38,901,835,40,0.197,58,500,0,60.355,118.220,1
100000,2,Grid,65.004,306061312,66473888,670,34,43,38,904,837,41,0.201,58,500,0,62.840,155.071,1
100000,2,Grid,65.167,306683904,68640624,670,36,43,38,905,838,41,0.279,58,500,0,39.301,119.527,1
100000,2,Grid,65.374,305950720,67455672,670,38,43,38,908,841,42,0.192,58,500,0,60.004,143.390,1
100000,2,Grid,65.525,306475008,70218848,670,40,43,38,909,842,42,0.196,58,500,0,61.320,86.567,1
100000,2,Grid,65.737,305360896,67165192,670,42,43,38,912,844,43,0.193,58,500,0,58.423,150.153,1
