products,operation,sample,ms,private_bytes,gc0,gc1,gc2
100000,local_sale_transaction_no_network,19,5.685,188788736,587,389,38
100000,daily_csv_1_to_31_sales,19,0.509,188788736,587,389,38
100000,search_details_100,20,33.311,188788736,587,389,38
100000,local_sale_transaction_no_network,20,5.280,188788736,587,389,38
100000,daily_csv_1_to_31_sales,20,0.512,188788736,587,389,38
100000,search_details_100,21,33.769,188788736,587,389,38
100000,local_sale_transaction_no_network,21,5.719,188788736,587,389,38
100000,daily_csv_1_to_31_sales,21,0.536,188788736,587,389,38
100000,search_details_100,22,34.325,188788736,587,389,38
100000,local_sale_transaction_no_network,22,5.434,188788736,587,389,38
100000,daily_csv_1_to_31_sales,22,0.520,188788736,587,389,38
100000,search_details_100,23,33.560,188788736,587,389,38
100000,local_sale_transaction_no_network,23,6.051,188788736,587,389,38
100000,daily_csv_1_to_31_sales,23,0.554,188788736,587,389,38
100000,search_details_100,24,34.401,188788736,587,389,38
100000,local_sale_transaction_no_network,24,6.455,188788736,587,389,38
100000,daily_csv_1_to_31_sales,24,0.569,188788736,587,389,38
100000,search_details_100,25,37.272,188788736,587,389,38
100000,local_sale_transaction_no_network,25,4.671,188788736,587,389,38
100000,daily_csv_1_to_31_sales,25,0.501,188788736,587,389,38
100000,search_details_100,26,34.747,188788736,587,389,38
100000,local_sale_transaction_no_network,26,5.476,188788736,587,389,38
100000,daily_csv_1_to_31_sales,26,0.524,188788736,587,389,38
100000,search_details_100,27,34.087,188788736,587,389,38
100000,local_sale_transaction_no_network,27,5.302,188788736,587,389,38
100000,daily_csv_1_to_31_sales,27,0.509,188788736,587,389,38
100000,search_details_100,28,35.670,188788736,587,389,38
100000,local_sale_transaction_no_network,28,5.498,188788736,587,389,38
100000,daily_csv_1_to_31_sales,28,0.548,188788736,587,389,38
100000,search_details_100,29,33.795,188788736,587,389,38
100000,local_sale_transaction_no_network,29,7.405,188788736,587,389,38
100000,daily_csv_1_to_31_sales,29,0.530,188788736,587,389,38
100000,search_details_100,30,36.532,188788736,587,389,38
100000,local_sale_transaction_no_network,30,4.930,188788736,587,389,38
100000,daily_csv_1_to_31_sales,30,0.512,188788736,587,389,38
