products,cycle,phase,elapsed_s,private_bytes,managed_bytes,handles,gdi,user,threads,gc0,gc1,gc2,dispatcher_ms,pending_dispatcher,cache_entries,image_lookups,scan_ms,render_ms
100000,2,Rows,70.898,296284160,62174652,658,36,42,39,588,508,38,0.241,15,500,0,35.808,136.080
100000,2,Rows,71.149,295530496,60218580,658,38,42,39,591,510,39,0.233,15,500,0,65.127,182.552
100000,2,Rows,71.391,295845888,60329124,658,40,42,39,593,512,39,0.255,15,500,0,61.180,176.317
100000,2,Rows,71.584,296443904,62629832,658,42,42,39,594,513,39,0.246,15,500,0,47.842,140.993
100000,2,Grid,72.108,216936448,62351600,658,46,42,39,599,516,41,0.255,13,500,0,223.722,283.900
100000,2,Grid,72.308,216862720,62454772,658,28,42,39,601,517,41,0.245,13,500,0,66.347,129.661
100000,2,Grid,72.562,218013696,60409980,658,30,42,39,604,519,42,0.253,13,500,0,72.377,177.663
100000,2,Grid,72.772,218238976,60498648,658,32,42,39,606,521,42,0.298,13,500,0,69.001,136.392
100000,2,Grid,72.957,218427392,62946976,658,34,42,39,607,522,42,0.242,13,500,0,40.771,140.663
100000,2,Grid,73.213,218611712,60574360,658,36,42,39,610,524,43,0.266,13,500,0,70.719,180.465
100000,2,Grid,73.429,219054080,60774432,658,38,42,39,612,526,43,0.543,13,500,0,68.498,143.354
100000,2,Grid,73.647,219336704,60643260,658,40,42,39,614,528,44,0.323,13,500,0,36.039,174.949
100000,2,Grid,73.845,219615232,62010824,658,42,42,39,616,529,44,0.255,13,500,0,64.440,126.850
100000,2,Grid,74.087,219099136,60373228,658,44,42,39,619,531,45,0.483,13,500,0,64.983,172.730
100000,2,before_idle,76.666,238424064,57103216,695,30,44,39,634,545,46,0.346,17,500,0,0.000,0.000
100000,2,after_idle,96.673,220065792,61881640,691,28,42,37,732,641,46,0.047,1,500,0,0.000,0.000
100000,3,Rows,99.534,281321472,119079488,663,27,42,39,760,668,47,0.256,1042,500,0,116.382,276.157
100000,3,Rows,101.978,287293440,60158472,658,28,42,38,777,685,48,0.300,21,500,0,2202.685,236.698
100000,3,Rows,102.171,288591872,62825552,659,29,42,39,778,686,48,0.674,15,500,0,48.075,140.596
100000,3,Rows,102.435,287838208,60464296,660,30,42,39,781,689,49,0.389,15,500,0,56.974,198.025
100000,3,Rows,102.646,288182272,60448084,659,32,42,39,783,691,49,0.352,15,500,0,69.477,137.869
100000,3,Rows,102.834,288907264,62756964,659,34,42,39,784,692,49,0.455,15,500,0,47.933,135.828
100000,3,Rows,103.100,287789056,60151096,659,36,42,39,787,695,50,0.535,15,500,0,64.532,196.332
100000,3,Rows,103.323,288534528,60270276,659,38,42,39,789,697,50,0.243,15,500,0,75.942,140.803
100000,3,Rows,103.514,289234944,62619688,659,40,42,39,790,698,50,0.243,15,500,0,53.151,133.619
100000,3,Rows,103.780,277045248,60164600,659,42,42,39,793,701,51,0.263,15,500,0,62.682,199.524
100000,3,Grid,104.126,288059392,63028056,659,46,42,39,796,704,51,0.232,13,500,0,182.508,129.917
100000,3,Grid,104.388,288821248,60196408,659,28,42,39,799,707,52,0.237,13,500,0,66.777,190.819
100000,3,Grid,104.618,289083392,60944344,659,30,42,39,801,709,52,0.246,13,500,0,73.382,153.168
100000,3,Grid,104.889,290856960,59971104,659,32,42,39,804,712,53,0.261,13,500,0,35.749,231.010
100000,3,Grid,105.078,289312768,63403660,659,34,42,39,805,713,53,0.278,13,500,0,73.148,112.472
100000,3,Grid,105.342,288882688,59956400,659,36,42,39,808,716,54,0.250,13,500,0,62.192,196.455
100000,3,Grid,105.553,288854016,62017300,659,38,42,39,810,718,54,0.246,13,500,0,67.321,139.987
100000,3,Grid,105.814,289153024,60158204,659,40,42,39,813,721,55,0.283,13,500,0,71.749,184.416
100000,3,Grid,106.008,289562624,62657040,659,42,42,39,814,722,55,0.277,13,500,0,43.589,146.283
100000,3,Grid,106.282,288931840,60685196,659,44,42,39,817,725,56,0.259,13,500,0,72.472,198.162
100000,3,before_idle,108.765,305664000,57076328,696,30,44,39,832,740,57,2.819,17,500,0,0.000,0.000
100000,3,after_idle,128.796,286212096,61573560,679,26,40,35,930,838,57,0.043,3,500,0,0.000,0.000
100000,4,Rows,131.888,290447360,117862332,658,27,41,37,960,866,59,0.284,1042,500,0,77.134,272.555
100000,4,Rows,134.340,303104000,60303440,653,28,41,36,976,882,60,0.340,21,500,0,2182.062,266.168
100000,4,Rows,134.564,304394240,60492180,654,29,41,37,978,884,60,0.333,15,500,0,72.347,146.669
