products,cycle,phase,elapsed_s,private_bytes,managed_bytes,handles,gdi,user,threads,gc0,gc1,gc2,dispatcher_ms,pending_dispatcher,cache_entries,image_lookups,scan_ms,render_ms,native_input_pending
100000,2,Rows,61.301,304402432,67442716,667,29,43,39,916,850,34,0.186,62,500,0,56.903,124.624,1
100000,2,Rows,61.443,304820224,69827620,667,30,43,39,917,851,34,0.193,62,500,0,33.134,105.415,1
100000,2,Rows,61.648,303992832,67157172,667,32,43,39,920,853,35,0.196,62,500,0,53.338,148.878,1
100000,2,Rows,61.817,304349184,67394144,667,34,43,39,922,855,35,0.188,62,500,0,54.802,110.653,1
100000,2,Rows,61.970,305283072,69784960,667,36,43,39,923,856,35,0.179,62,500,0,42.161,106.837,1
100000,2,Rows,62.177,304476160,67349848,667,38,43,39,926,858,36,0.232,62,500,0,54.614,149.247,1
100000,2,Grid,62.474,305287168,67477504,667,42,43,39,930,860,36,0.181,61,500,0,146.142,117.466,1
100000,2,Grid,62.658,305971200,69088772,667,44,43,39,932,862,37,0.185,61,500,0,49.654,130.821,1
100000,2,Grid,62.880,305336320,66854784,667,46,43,39,935,864,38,0.275,60,500,0,59.925,158.056,1
100000,2,Grid,63.058,305610752,67755416,667,28,43,39,937,866,38,0.187,60,500,0,61.308,113.676,1
100000,2,Grid,63.265,305938432,66444668,667,30,43,39,940,868,39,0.199,60,500,0,59.325,144.271,1
100000,2,Grid,63.417,306552832,68612156,667,32,43,39,941,869,39,0.191,60,500,0,37.717,111.060,1
100000,2,Grid,63.612,305872896,67420920,667,34,43,39,944,872,40,0.205,60,500,0,54.125,137.199,1
100000,2,Grid,63.753,306216960,70183324,667,36,43,39,945,873,40,0.183,60,500,0,55.869,81.822,1
100000,2,Grid,63.956,305614848,67030748,667,38,43,39,948,875,41,0.200,60,500,0,53.084,146.531,1
100000,2,Grid,64.120,305811456,68585716,667,40,43,39,950,876,41,0.180,60,500,0,58.596,101.371,1
100000,2,before_idle,65.436,325009408,69758676,702,32,45,39,965,889,42,0.169,86,500,0,0.000,0.000,1
100000,2,after_idle,85.458,303882240,73230756,699,26,43,37,1239,1163,42,0.116,76,500,0,0.000,0.000,1
100000,3,Rows,87.662,325300224,127663260,673,27,44,39,1269,1191,44,0.245,1113,500,0,60.570,211.289,1
100000,3,Rows,87.792,324177920,111293908,673,28,44,39,1271,1193,45,0.219,873,500,0,20.708,106.661,1
100000,3,Rows,89.464,311193600,70147976,667,30,44,38,1289,1205,47,0.189,92,500,0,1502.692,165.367,1
100000,3,Rows,89.689,322822144,69037760,668,32,44,39,1292,1207,48,0.212,90,500,0,62.675,158.605,1
100000,3,Rows,89.844,324214784,71072024,668,30,44,39,1293,1208,48,0.254,85,500,0,37.142,114.541,1
100000,3,Rows,90.075,323121152,69591344,668,31,44,39,1296,1211,49,0.180,85,500,0,54.638,172.829,1
100000,3,Rows,90.221,323907584,72142820,668,32,44,39,1297,1212,49,0.188,85,500,0,34.360,108.771,1
100000,3,Rows,90.441,322576384,69284856,668,34,44,39,1300,1214,50,0.202,85,500,0,55.330,161.178,1
100000,3,Rows,90.619,323354624,70050628,668,36,44,39,1302,1216,50,0.187,85,500,0,60.495,114.473,1
100000,3,Rows,90.771,323833856,72444104,668,38,44,39,1303,1217,50,0.186,85,500,0,36.568,111.248,1
100000,3,Grid,91.241,252178432,71955896,668,42,44,39,1308,1220,52,0.218,84,500,0,190.697,241.465,1
100000,3,Grid,91.406,252473344,72163896,668,44,44,39,1310,1221,52,0.189,84,500,0,58.420,104.043,1
100000,3,Grid,91.610,252895232,70006536,668,46,44,39,1313,1223,53,0.193,83,500,0,53.992,145.763,1
100000,3,Grid,91.773,252637184,70412952,668,28,44,39,1315,1225,53,0.191,83,500,0,54.298,105.999,1
100000,3,Grid,91.967,253300736,69058464,668,30,44,39,1318,1227,54,0.203,83,500,0,55.896,133.943,1
100000,3,Grid,92.116,253964288,71232524,668,32,44,39,1319,1228,54,0.184,83,500,0,38.831,107.131,1
100000,3,Grid,92.308,252977152,70052484,668,34,44,39,1322,1231,55,0.188,83,500,0,51.604,137.123,1
100000,3,Grid,92.452,253284352,72780640,668,36,44,39,1323,1232,55,0.194,83,500,0,57.630,83.024,1
100000,3,Grid,92.648,252608512,69611160,668,38,44,39,1326,1234,56,0.193,83,500,0,51.933,140.361,1
100000,3,Grid,92.806,252858368,71776512,668,40,44,39,1328,1235,56,0.188,83,500,0,54.461,99.637,1
